"","DAP","HT","HP","VOL"
"6",29.9,27.1,1.9,0.90670219
"13",32.6,27.7,2.5,1.080176734
"17",39.2,26.95,1.75,1.593808401
"18",33.6,25.1,2,0.966786969
"27",28.5,25.75,2.65,0.816150625
"41",38,23.9,2.9,1.223326637
"42",32.6,25.65,2.55,1.019462917
"43",36.8,26.6,1.4,1.294737944
"44",37.4,24.6,1.5,1.532379793
"50",41,28.35,3.15,1.669449797
"54",34,25.05,1.95,1.290200345
"55",37,26.95,1.75,1.449697656
"58",38.5,25.5,2.4,1.663501192
"66",45,26.35,1.15,1.723427216
"73",29.5,22.8,1.8,0.756933685
"83",40.1,26.1,3,1.745768429
"85",37.6,27.15,1.95,1.491812093
"94",42,27.1,1.9,1.942963595
"95",31.5,23.5,2.5,0.922165279
"99",40,24.2,1.1,1.741120875
